analysis,model,n_rows,r2,mae,calibration_slope,calibration_intercept,evaluation_scale
molecular_any_fraction:correlation_all,quality_baseline,433,0.27460857339513667,0.06959132781126438,0.8396039448627409,0.019903597532361643,absolute outcome
molecular_any_fraction:correlation_all,with_predictor,433,0.27689214061371803,0.06966413792143507,0.840253572894773,0.019911910782570687,absolute outcome
molecular_any_fraction:correlation_all:target_controlled,quality_baseline,382,0.06520774796965778,0.02925758679951091,0.7948655388310866,-7.988055687173816e-19,within-target deviations
molecular_any_fraction:correlation_all:target_controlled,with_predictor,382,0.06689509582955466,0.029229281446684095,0.7885828625382888,4.437808715096564e-19,within-target deviations
molecular_support_fraction:correlation_all,quality_baseline,433,0.27460857339513667,0.06959132781126438,0.8396039448627409,0.019903597532361643,absolute outcome
molecular_support_fraction:correlation_all,with_predictor,433,0.27055018632719186,0.06989276434362722,0.8354659983084942,0.020360378576273642,absolute outcome
molecular_support_fraction:correlation_all:target_controlled,quality_baseline,382,0.06520774796965778,0.02925758679951091,0.7948655388310866,-7.988055687173816e-19,within-target deviations
molecular_support_fraction:correlation_all:target_controlled,with_predictor,382,0.061714303757458344,0.029348941894586995,0.769469828365566,-2.6626852290579386e-19,within-target deviations
paired_cis_count,quality_baseline,14385,0.01017040587530893,0.7715846655122137,0.8767339516078034,-0.004080105071049168,absolute outcome
paired_cis_count,with_predictor,14385,0.047008192541725724,0.7537647215977313,0.9682861439490087,-0.0005703738014622262,absolute outcome
paired_cis_count:target_controlled,quality_baseline,13553,0.00432827689959181,0.38485044771077404,0.9374103732614768,8.225297491076057e-18,within-target deviations
paired_cis_count:target_controlled,with_predictor,13553,0.005376648807209894,0.38485537328745245,0.9313979077788713,1.3112793101715452e-18,within-target deviations
